epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,812.388,0.97942,0.52447,0.92874,0.80092,0.67318,0.79738,0.44817,1.57642,1.10178,1.23114,0.0009308,0.0009308,0.0009308
56,827.379,0.96499,0.51298,0.91769,0.73633,0.67673,0.78531,0.442,1.6192,1.01068,1.24506,0.000911,0.000911,0.000911
57,844.303,0.95576,0.50626,0.91417,0.81139,0.68739,0.81351,0.47016,1.53174,1.02927,1.21824,0.0008912,0.0008912,0.0008912
58,860.563,0.96727,0.51361,0.9131,0.73642,0.70515,0.78647,0.44989,1.55159,1.01827,1.24673,0.0008714,0.0008714,0.0008714
59,875.355,0.95889,0.50875,0.91601,0.7781,0.68028,0.80384,0.44076,1.58603,1.03569,1.25086,0.0008516,0.0008516,0.0008516
60,889.991,0.96798,0.504,0.9108,0.7822,0.73358,0.82047,0.46615,1.53226,0.95515,1.22572,0.0008318,0.0008318,0.0008318
61,904.883,0.94738,0.49762,0.90919,0.75757,0.69381,0.809,0.45924,1.53591,1.07923,1.20436,0.000812,0.000812,0.000812
62,919.425,0.94539,0.50236,0.91211,0.82613,0.69094,0.81084,0.43189,1.60129,1.04225,1.23256,0.0007922,0.0007922,0.0007922
63,933.994,0.9376,0.4931,0.90594,0.8171,0.67851,0.80444,0.44111,1.61803,1.02864,1.24601,0.0007724,0.0007724,0.0007724
64,948.958,0.94215,0.49571,0.907,0.68954,0.71226,0.7761,0.42835,1.60913,1.02326,1.26797,0.0007526,0.0007526,0.0007526
65,963.393,0.94638,0.50049,0.90614,0.75709,0.66963,0.79514,0.45082,1.5448,1.06647,1.22567,0.0007328,0.0007328,0.0007328
66,977.894,0.93205,0.48843,0.91229,0.72712,0.65719,0.76066,0.40167,1.66682,1.17998,1.26173,0.000713,0.000713,0.000713
67,992.623,0.9307,0.49189,0.90772,0.72119,0.68458,0.77184,0.42423,1.62197,1.09084,1.26497,0.0006932,0.0006932,0.0006932
68,1007.24,0.9343,0.49039,0.9112,0.76667,0.71758,0.81895,0.46929,1.5198,0.97617,1.21571,0.0006734,0.0006734,0.0006734
69,1021.72,0.92837,0.4899,0.90571,0.77201,0.69094,0.80758,0.45369,1.56937,0.99038,1.23028,0.0006536,0.0006536,0.0006536
70,1036.1,0.91418,0.48245,0.90513,0.78516,0.73351,0.83199,0.47147,1.53336,0.992,1.21485,0.0006338,0.0006338,0.0006338
71,1050.65,0.92011,0.48304,0.90622,0.83399,0.61279,0.77087,0.42201,1.6223,1.23001,1.24481,0.000614,0.000614,0.000614
72,1065.15,0.91895,0.48318,0.90438,0.76634,0.73712,0.81747,0.45566,1.56649,1.03705,1.22967,0.0005942,0.0005942,0.0005942
73,1079.6,0.91196,0.47311,0.89772,0.76214,0.76831,0.81935,0.47585,1.52323,0.94801,1.20447,0.0005744,0.0005744,0.0005744
74,1094.03,0.90134,0.47714,0.90688,0.75951,0.6714,0.77529,0.40923,1.63927,1.0056,1.26304,0.0005546,0.0005546,0.0005546
75,1108.36,0.89948,0.47612,0.90338,0.77163,0.66618,0.78481,0.44397,1.58654,1.11869,1.22924,0.0005348,0.0005348,0.0005348
76,1122.64,0.90061,0.47298,0.90617,0.79263,0.67673,0.81169,0.45613,1.57401,1.06142,1.22785,0.000515,0.000515,0.000515
77,1136.94,0.89355,0.46918,0.89686,0.75309,0.69885,0.80649,0.45276,1.57502,1.09921,1.22839,0.0004952,0.0004952,0.0004952
78,1151.26,0.90856,0.47025,0.90489,0.73025,0.62992,0.75114,0.42408,1.58545,1.13386,1.23479,0.0004754,0.0004754,0.0004754
79,1165.71,0.89513,0.46789,0.90126,0.80812,0.66252,0.80253,0.45054,1.56349,1.08551,1.21075,0.0004556,0.0004556,0.0004556
80,1179.98,0.89039,0.46694,0.89533,0.77393,0.71144,0.80948,0.44521,1.60043,1.00075,1.23588,0.0004358,0.0004358,0.0004358
81,1195.28,0.88877,0.46725,0.89725,0.78209,0.62877,0.75394,0.41016,1.63499,1.11293,1.25851,0.000416,0.000416,0.000416
82,1210.21,0.89296,0.46954,0.89874,0.8252,0.60375,0.76896,0.41347,1.64325,1.13447,1.25715,0.0003962,0.0003962,0.0003962
83,1225.17,0.87577,0.46079,0.89946,0.76541,0.69544,0.7907,0.44487,1.54107,1.12957,1.20653,0.0003764,0.0003764,0.0003764
